#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
180426339,955,4,-281,-297,-735,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
180467101,956,4,-282,-297,-770,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
180507504,956,4,-283,-280,-822,-52,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
180548314,955,4,-282,-280,-770,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
180589175,955,4,-282,-262,-752,-52,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
180629579,955,4,-282,-297,-735,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
180669986,955,4,-281,-280,-735,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
180710750,956,4,-282,-297,-787,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
180751660,955,4,-283,-297,-787,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
180791978,955,4,-283,-262,-770,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
180832887,955,4,-281,-280,-700,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
180873206,955,4,-282,-297,-787,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
180913970,955,4,-282,-315,-752,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
180954429,955,4,-282,-280,-770,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
180995194,955,4,-283,-297,-770,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
181035646,955,4,-282,-297,-717,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
181076408,955,4,-281,-297,-770,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
181116812,956,4,-282,-280,-770,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
181157623,955,4,-281,-297,-717,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
181198487,955,4,-283,-297,-787,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
181238855,955,4,-283,-297,-787,-52,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
181279622,955,4,-281,-297,-700,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
181320025,955,4,-282,-297,-805,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
181360835,955,4,-282,-280,-735,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
181401239,955,4,-281,-297,-752,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
181442050,955,3,-282,-297,-805,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
181482452,955,4,-283,-297,-752,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
181523216,955,4,-281,-297,-717,-35,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
181563670,955,4,-282,-297,-752,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
181604436,955,4,-282,-297,-752,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
181645349,955,4,-282,-315,-752,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
181685666,955,4,-283,-297,-805,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
181726432,955,3,-281,-280,-735,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
181766883,955,3,-281,-315,-752,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
181807647,955,5,-282,-315,-787,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
181848103,955,4,-283,-280,-770,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
181888865,955,4,-282,-297,-735,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
181929277,955,4,-282,-297,-752,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
