#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
306483760,-23,3,1008,-280,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
306524540,-23,3,1008,-297,-770,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
306564949,-23,3,1008,-297,-752,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
306605765,-23,3,1008,-297,-735,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
306646173,-22,3,1008,-280,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
306686955,-23,3,1008,-297,-752,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
306727362,-23,3,1008,-297,-770,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
306768130,-23,3,1008,-297,-770,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
306809042,-23,3,1008,-315,-770,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
306849362,-22,3,1008,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
306890141,-23,3,1008,-297,-752,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
306930547,-23,3,1008,-315,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
306971312,-23,3,1008,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
307011768,-23,3,1008,-297,-735,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
307052534,-23,3,1008,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
307093452,-22,3,1008,-297,-770,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
307133774,-23,3,1008,-297,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
307174640,-23,3,1008,-297,-735,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
307215008,-24,3,1008,-297,-752,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
307255772,-24,3,1008,-315,-735,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
307296225,-23,3,1008,-297,-752,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
307337025,-23,3,1008,-297,-770,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
307377432,-24,3,1008,-280,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
307418248,-23,3,1008,-280,-770,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
307458654,-24,3,1008,-297,-770,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
307499465,-23,3,1008,-297,-770,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
307539873,-23,3,1008,-297,-770,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
307580639,-23,3,1008,-315,-770,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
307621094,-24,3,1008,-315,-735,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
307661859,-23,3,1009,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
307702312,-23,3,1008,-297,-770,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
307743083,-23,2,1008,-280,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
307783849,-23,3,1008,-297,-770,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
307824304,-23,4,1008,-297,-752,-140,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
307865072,-23,3,1008,-297,-770,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
307905529,-23,3,1009,-297,-770,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
307946292,-23,3,1008,-280,-770,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
307986698,-22,2,1009,-315,-770,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
308027512,-22,2,1008,-315,-752,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
308067919,-23,3,1008,-297,-752,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
308108738,-23,3,1009,-297,-752,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
308149604,-24,3,1009,-297,-770,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
308189926,-23,3,1009,-297,-735,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
